Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"1.2.4.4","1.0310262529833","0.1296","0.0008","0.1257","0.01","-0.008457","0.001629","-0.0039","0.001406","0.001569"
"1.1.1.170","1.031050955414","0.1295","0.0023","0.1256","0.017","-0.01157","0.005285","-0.003886","0.06276","0.06624"
"3.1.4.17","1.03772070626","0.1293","0.0012","0.1246","0.0073","-0.008658","-0.001502","-0.00475","0.0008647","0.0009997"
"3.4.17.21","1.0572363041701","0.1293","0.0008","0.1223","0.0065","-0.0102","-0.003636","-0.006993","0.001406","0.001569"
"2.4.1.34","1.0677126341866","0.1293","0.0008","0.1211","0.0059","-0.01141","-0.005266","-0.008136","0.0001247","0.0001542"
"3.5.4.4","1.0875420875421","0.1292","0.0022","0.1188","0.0144","-0.0175","-0.002014","-0.01034","0.05654","0.05974"
"5.4.2.8","1.0822837951301","0.1289","0.002","0.1191","0.0107","-0.01589","-0.004607","-0.009724","0.0003099","0.0003687"
"1.14.13.21","3.2176440417165","0.1882","0.0074","0.0585","0.0262","-0.143","-0.1148","-0.1297","7.468E-6","1.23E-5"
"1.2.4.2","1.0960884353741","0.1289","0.0018","0.1176","0.0118","-0.01687","-0.005164","-0.01138","0.001406","0.001569"
"3.2.1.67","1.0996592844974","0.1291","0.001","0.1174","0.0083","-0.01561","-0.006842","-0.01161","0.001647","0.001827"
"1.3.3.6","1.1015358361775","0.1291","0.0014","0.1172","0.0099","-0.01632","-0.006893","-0.0119","0.001406","0.001569"
"2.6.1.62","1.130017452007","0.1295","0.0011","0.1146","0.005","-0.01742","-0.01221","-0.01487","7.468E-6","1.23E-5"
"4.1.1.45","1.1574239713775","0.1294","0.0034","0.1118","0.0219","-0.02859","-0.006853","-0.01756","0.002247","0.002473"
"1.3.1.33","1.1806569343066","0.1294","0.0016","0.1096","0.0221","-0.03118","-0.007594","-0.01979","0.001406","0.001569"
"3.1.1.7","1.2042513863216","0.1303","0.0028","0.1082","0.0194","-0.03308","-0.01266","-0.02214","0.001198","0.001376"
"5.1.3.3","1.1862385321101","0.1293","0.0007","0.109","0.0062","-0.02294","-0.01694","-0.0203","7.468E-6","1.23E-5"
"2.2.1.1","1.1793229643184","0.1289","0.0014","0.1093","0.0124","-0.02542","-0.01202","-0.01958","0.0001247","0.0001542"
"3.1.27.1","1.1845730027548","0.129","0.001","0.1089","0.006","-0.02289","-0.01684","-0.02015","7.468E-6","1.23E-5"
"2.4.2.29","1.1847426470588","0.1289","0.0017","0.1088","0.0175","-0.03091","-0.01284","-0.02006","0.0001247","0.0001542"
"1.2.1.12","1.1863468634686","0.1286","0.0022","0.1084","0.0138","-0.02727","-0.01298","-0.02023","0.0002594","0.0003107"
"3.1.3.4","1.1863468634686","0.1286","0.002","0.1084","0.0089","-0.02485","-0.0161","-0.02021","7.468E-6","1.23E-5"
"3.1.3.46","1.1903881700555","0.1288","0.0012","0.1082","0.0063","-0.024","-0.01771","-0.0206","7.468E-6","1.23E-5"
"1.1.1.31","1.1990697674419","0.1289","0.0021","0.1075","0.009","-0.02537","-0.01659","-0.02137","1.144E-5","1.703E-5"
"6.5.1.4","1.2114661654135","0.1289","0.001","0.1064","0.0073","-0.02635","-0.01849","-0.02255","7.468E-6","1.23E-5"
"1.3.99.5","1.2039473684211","0.1281","0.0024","0.1064","0.0143","-0.02926","-0.01418","-0.02171","0.0001247","0.0001542"
"3.4.11.10","1.2228571428571","0.1284","0.0017","0.105","0.0072","-0.02706","-0.01962","-0.02334","7.468E-6","1.23E-5"
"3.1.4.1","1.2219047619048","0.1283","0.002","0.105","0.0207","-0.03497","-0.01421","-0.02327","0.0001247","0.0001542"
"3.4.19.1","1.2221163012393","0.1282","0.0029","0.1049","0.0116","-0.02863","-0.01671","-0.02329","0.0001502","0.0001849"
"3.4.21.48","1.2468415937804","0.1283","0.0027","0.1029","0.0073","-0.02919","-0.02149","-0.02537","7.468E-6","1.23E-5"
