Name,Fold Change(Tb/CK),Tb-Mean(%),Tb-Sd(%),CK-Mean(%),CK-Sd(%),Lower ci,Upper ci,Effectsize,P-value,corrected pvalue
"PWY-4722","3.3022990689721","0.0017","0.0013","0.0005","0.0004","-0.00199","-0.0006101","-0.001211","0.0005223","0.001382"
"PWY-2221","11.012203876525","0.0015","0.001","0.0001","0.0002","-0.001947","-0.0009194","-0.001394","1.738E-5","0.0001255"
"PWY-7347","2.5675675675676","0.0012","0.0013","0.0005","0.0003","-0.001518","-0.0001492","-0.0007073","0.03656","0.05603"
"THREOCAT-PWY","13.235014272122","0.0014","0.0031","0.0001","0.0003","-0.003067","-0.0002141","-0.001286","0.004082","0.008361"
"PWY-7316","8.8186356073211","0.0011","0.0021","0.0001","0.0001","-0.00213","-0.0002385","-0.0009396","0.0001502","0.0004923"
"PWY-7446","4.5107212475634","0.0009","0.0019","0.0002","0.0004","-0.001976","2.984E-5","-0.0007204","0.002616","0.005715"
"METHGLYUT-PWY","5.5483319076133","0.0006","0.0004","0.0001","0.0002","-0.0007891","-0.0002964","-0.0005317","7.053E-5","0.0002862"
"ECASYN-PWY","16.310947562098","0.0005","0.0009","0","0.0001","-0.001032","-0.0001533","-0.0004993","0.0005223","0.001382"
"PWY-7373","0.11198775317946","0","0.0001","0.0004","0.0004","0.0001651","0.0006114","0.0003771","0.01797","0.02967"
"ARGDEG-PWY","64.558674332093","0.0004","0.0004","0","0","-0.0006341","-0.0001708","-0.0003759","5.809E-5","0.000245"
"ORNARGDEG-PWY","64.558674332093","0.0004","0.0004","0","0","-0.0006285","-0.0001657","-0.0003759","5.809E-5","0.000245"
"PWY-7024","0.95745856353591","0.0002","0.0001","0.0002","0.0002","-9.137E-5","9.859E-5","7.677E-6","0.8005","0.8379"
"PWY0-1338","6.8123091378905","0.0003","0.0005","0","0.0001","-0.0005704","-4.086E-5","-0.0002474","0.007189","0.0138"
"P341-PWY","6.2552249815589","0.0003","0.0002","0","0.0001","-0.0003454","-8.936E-5","-0.0002137","0.0008647","0.002193"
"PWY-5744","0.94756838905775","0.0001","0.0001","0.0001","0.0001","-6.514E-5","8.324E-5","6.971E-6","0.6961","0.747"
"P162-PWY","2.3264071541294","0.0002","0.0002","0.0001","0.0001","-0.0002265","1.108E-5","-0.0001009","0.3232","0.3804"
"PWY-5743","0.95669607056937","0.0001","0.0001","0.0001","0.0001","-5.877E-5","7.206E-5","5.334E-6","0.8005","0.8379"
"PWY-6906","5.6507503410641","0.0002","0.0002","0","0","-0.000304","-6.103E-5","-0.0001704","0.02585","0.04063"
"PWY-1541","8.6105350476981","0.0002","0.0002","0","0.0001","-0.0003139","-6.678E-5","-0.0001835","0.0769","0.1071"
"LACTOSECAT-PWY","1.2955832389581","0.0001","0.0002","0.0001","0.0001","-0.0001366","6.366E-5","-2.608E-5","0.9085","0.9172"
"PWY-5757","1.8416177832664","0.0001","0.0002","0.0001","0.0001","-0.0001502","3.269E-5","-5.454E-5","0.7304","0.7798"
"PWY-7084","1.3823651739914","0.0001","0.0001","0.0001","0.0002","-0.0001432","9.868E-5","-2.757E-5","0.09352","0.1273"
"PWY-5005","2.2419724770642","0.0001","0.0002","0","0.0001","-0.0001532","1.909E-5","-5.414E-5","0.4763","0.5298"
"PWY-5177","2.3236373165618","0.0001","0.0001","0","0.0001","-0.0001126","1.155E-5","-5.05E-5","0.3232","0.3804"
"PWY-6993","1.2364075714861","0.0001","0.0001","0","0.0001","-6.709E-5","6.105E-5","-1.173E-5","0.2413","0.2946"
"LPSSYN-PWY","8.2356164383562","0.0001","0.0001","0","0","-0.0001269","-2.949E-5","-7.924E-5","0.02294","0.03688"
"PWY-6629","258.06362378976","0.0001","0.0001","0","0","-0.0001705","-3.048E-5","-9.294E-5","0.04089","0.06155"
"PWY-7398","7.3821782178218","0.0001","0.0001","0","0","-0.0001126","-2.457E-5","-6.445E-5","0.02294","0.03688"
"PWY-1422","1.7428271518544","0","0.0001","0","0.0001","-7.743E-5","3.999E-5","-2.123E-5","0.6295","0.6858"
"PWY-5265","131.50760719225","0","0.0002","0","0","-0.0001415","4.521E-9","-4.718E-5","0.6961","0.747"
"PWY-5499","11.958410924891","0","0.0001","0","0","-6.621E-5","-9.522E-6","-3.531E-5","0.001019","0.002495"
"PWY-6165","92.863070539419","0","0.0001","0","0","-6.585E-5","-5.656E-6","-3.32E-5","0.3462","0.4041"
"PWY-7014","5.1377739205902","0","0","0","0","-3.353E-5","-5.848E-6","-1.907E-5","0.3703","0.4275"
"PWY-7209","0.17309688581315","0","0","0","0.0001","-1.092E-5","6.826E-5","1.911E-5","0.9451","0.9495"
"PWY-3081","2.4731327243418","0","0","0","0","-3.239E-5","1.045E-5","-1.096E-5","0.4763","0.5298"
"PWY-6713","59.142461964039","0","0","0","0","-3.887E-5","-6.404E-6","-2.102E-5","0.04089","0.06155"
"PWY-6581","49.460580912863","0","0","0","0","-3.197E-5","-5.773E-6","-1.752E-5","0.2234","0.2758"
"PWY-6565","48.547717842324","0","0","0","0","-3.842E-5","-3.336E-9","-1.719E-5","0.1753","0.2209"
"PWY-7644","1.2092032381764","0","0","0","0","-1.408E-5","1.155E-5","-1.472E-6","0.8362","0.8709"
