Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"2.7.8.12","0.001591","0.01834","0.0187","0.0021","0.0084","0.0028","0.0133","0.0023","0.0052","0.002","0.0256","0.0061","0.0057","0.0004","0.0198","0.0115","0.0095","0.0006"
"6.3.4.6","0.002335","0.01834","0.0165","0.0008","0.0107","0.0022","0.0167","0.0016","0.0096","0.0008","0.0171","0.0019","0.0109","0.0011","0.014","0.0012","0.0105","0.0003"
"5.1.3.29","0.008702","0.02531","0.0125","0.0025","0.0111","0.0015","0.0135","0.0041","0.0121","0.0009","0.0099","0.0026","0.0183","0.0008","0.0118","0.0042","0.0166","0.0006"
"4.2.1.91","0.1639","0.1971","0.0133","0.0035","0.0128","0.0042","0.0155","0.0054","0.0114","0.0002","0.0111","0.0021","0.0164","0.0012","0.0113","0.0038","0.0138","0.0007"
"1.1.1.57","0.05955","0.08983","0.0135","0.0023","0.0114","0.0039","0.0156","0.004","0.0105","0.0008","0.0139","0.0017","0.0164","0.0024","0.0108","0.003","0.0131","0.0006"
"5.1.99.3","0.08629","0.1174","0.0128","0.0023","0.0107","0.0031","0.0137","0.0031","0.0116","0.0005","0.0124","0.0021","0.0168","0.0022","0.0125","0.0016","0.0146","0.0006"
"2.8.3.8","0.005991","0.02211","0.0119","0.0024","0.0109","0.0032","0.0101","0.0035","0.0152","0.0031","0.0088","0.0015","0.0182","0.0029","0.0105","0.0029","0.0189","0.0014"
"2.8.3.9","0.005991","0.02211","0.0119","0.0024","0.0109","0.0032","0.0101","0.0034","0.0152","0.0031","0.0087","0.0015","0.0181","0.0029","0.0105","0.0029","0.0189","0.0014"
"4.2.99.20","0.01616","0.03617","0.0155","0.0035","0.0123","0.0041","0.0162","0.0035","0.0098","0.001","0.0183","0.0035","0.0098","0.0006","0.0121","0.0023","0.0101","0.0007"
"3.5.3.8","0.04609","0.07309","0.0153","0.0022","0.0146","0.0018","0.0121","0.0025","0.0144","0.002","0.0135","0.001","0.0126","0.001","0.011","0.0022","0.0105","0.0005"
"3.6.1.54","0.08881","0.1197","0.0128","0.0012","0.013","0.0041","0.0128","0.0036","0.0127","0.0014","0.0103","0.0022","0.0163","0.001","0.0128","0.0036","0.0123","0.0006"
"3.1.2.23","0.01177","0.02947","0.0115","0.0006","0.0113","0.0024","0.013","0.0028","0.0124","0.0005","0.0099","0.0022","0.0178","0.0023","0.0117","0.004","0.015","0.0007"
"3.5.1.49","0.1361","0.1675","0.0121","0.002","0.0095","0.0032","0.0131","0.0017","0.0123","0.0007","0.0153","0.0044","0.015","0.0023","0.0116","0.0007","0.0136","0.0005"
"1.14.14.1","0.02825","0.05167","0.0131","0.0025","0.0103","0.0029","0.0155","0.0015","0.0101","0.0003","0.0143","0.0016","0.0143","0.0019","0.0118","0.0011","0.0128","0.0008"
"4.1.2.44","0.0604","0.09087","0.0114","0.0012","0.0108","0.0026","0.014","0.0017","0.0117","0.0008","0.0122","0.002","0.0157","0.0022","0.0122","0.0029","0.0138","0.0006"
"2.1.1.172","0.001237","0.01834","0.0173","0.0011","0.0085","0.0006","0.0116","0.001","0.0078","0.0015","0.0205","0.0058","0.0087","0.0006","0.0159","0.0053","0.0113","0.0003"
"3.5.4.12","0.1004","0.1312","0.0146","0.0032","0.014","0.0042","0.0108","0.0018","0.0108","0.0015","0.0155","0.0033","0.0127","0.0008","0.0098","0.0026","0.0124","0.0002"
"4.1.1.87","0.00736","0.02348","0.0114","0.0041","0.0111","0.0015","0.0111","0.0036","0.0121","0.0011","0.0077","0.0025","0.0186","0.0026","0.0132","0.0038","0.0152","0.0004"
