"Species name",CK-Mean(%),CK-Sd(%),Tb-Mean(%),Tb-Sd(%),Pvalue,"Corrected pvalue","Lower ci","Upper ci",Effectsize
g__Plenodomus,0.007079,0.02021,0,0,0.01759,0.05258,0.0005445,0.01833,0.00708
g__Cercospora,0.006535,0.01295,0.000363,0.0009228,0.01234,0.04185,0.0009077,0.0138,0.006172
g__Letendraea,0.006172,0.01749,0.0005446,0.002038,0.08388,0.1624,-0.0003626,0.01634,0.005627
g__Pseudocraterellus,0.006716,0.01942,0,0,0.007835,0.02972,0.0007261,0.01761,0.006716
g__Hymenoscyphus,0.006353,0.009804,0.000363,0.001358,0.01121,0.03873,0.001816,0.01162,0.005991
g__Arthrocatena,0.006716,0.009276,0,0,0.001379,0.009827,0.00236,0.0118,0.006718
g__Anthostomella,0.00472,0.007776,0.001815,0.004394,0.2334,0.351,-0.001271,0.007807,0.002904
g__unclassified_f__Mortierellaceae,0.006535,0.01609,0,0,0.07946,0.155,0,0.01634,0.006535
g__Amanita,0.003449,0.004633,0.003086,0.01017,0.08064,0.1567,-0.00599,0.005265,0.0003634
g__Operculomyces,0.006535,0.01174,0,0,0.007901,0.02972,0.001452,0.01325,0.006535
g__Phaeotremella,0.006353,0.006593,0.0001815,0.0006792,0.0005527,0.00503,0.002905,0.009804,0.006173
g__Calcarisporium,0.006353,0.01187,0.0001815,0.0006792,0.0006483,0.005531,0.001634,0.01289,0.006172
g__Sphaerosporella,0.006172,0.0085,0.0001815,0.0006792,0.01032,0.03618,0.002178,0.01053,0.00599
g__unclassified_f__Biatriosporaceae,0.006353,0.02377,0,0,0.3531,0.3895,0,0.01906,0.006353
g__Minimedusa,0.006353,0.02377,0,0,0.3531,0.3895,0,0.01906,0.006353
g__Cylindrium,0.003449,0.008435,0.002904,0.01016,0.6548,0.6875,-0.006353,0.007081,0.0005453
g__unclassified_o__Sordariales,0.002178,0.003284,0.004175,0.0075,0.9583,0.9929,-0.006355,0.001816,-0.001997
g__Sarcomyxa,0.006172,0.02165,0,0,0.07932,0.155,0,0.01779,0.006171
g__unclassified_o__GS21,0.00472,0.006293,0.001271,0.00259,0.06349,0.1409,0.0001815,0.007443,0.003449
g__unclassified_f__Melanommataceae,0.005809,0.008599,0.0001815,0.0006792,0.004287,0.0209,0.001816,0.01053,0.005628
g__Volutella,0.00599,0.0101,0,0,0.01762,0.05258,0.001452,0.01162,0.005991
g__Candida,0.003812,0.01355,0.002178,0.00745,1,1,-0.004356,0.01071,0.001634
g__Neonectria,0.005809,0.01194,0,0,0.01762,0.05258,0.0009079,0.01289,0.005809
g__Isaria,0.005446,0.01441,0.000363,0.0009228,0.2904,0.3895,-0.0001814,0.01325,0.005083
g__Delastria,0.005446,0.01824,0.000363,0.001358,0.308,0.3895,-0.0005447,0.01525,0.005082
g__Cristinia,0.00472,0.01006,0.001089,0.003412,0.1059,0.2016,-0.0009079,0.00962,0.00363
g__unclassified_f__Clavariaceae,0.005627,0.01822,0,0,0.07932,0.155,0,0.01543,0.005627
g__unclassified_o__Branch02,0.005627,0.02105,0,0,0.3531,0.3895,0,0.01688,0.005627
g__Harrya,0.005446,0.01829,0,0,0.1649,0.2522,0,0.01579,0.005445
g__Cladonia,0.005446,0.01706,0,0,0.1649,0.2522,0,0.01815,0.005446
g__Penicillifer,0.004901,0.0121,0.0005446,0.002038,0.2906,0.3895,-0.0009077,0.01144,0.004356
g__Arachnopeziza,0.005264,0.005766,0.0001815,0.0006792,0.001542,0.0104,0.00236,0.008351,0.005083
g__Purpureocillium,0.005264,0.01383,0,0,0.07946,0.155,0,0.01361,0.005264
g__Wallemia,0.005083,0.01087,0,0,0.03792,0.08963,0.0003631,0.01144,0.005083
g__Dendrochytridium,0.005083,0.004568,0,0,0.0001841,0.002512,0.002723,0.007444,0.005083
g__Ophiocordyceps,0.005083,0.009509,0,0,0.01762,0.05258,0.0009076,0.01053,0.005083
g__unclassified_f__Chaetomiaceae,0.005083,0.0183,0,0,0.1649,0.2522,0,0.01506,0.005082
g__Diplogelasinospora,0.005083,0.01363,0,0,0.03792,0.08963,0.0003631,0.01271,0.005083
g__unclassified_o__GS22,0.005083,0.008971,0,0,0.003362,0.01798,0.001089,0.009983,0.005082
g__unclassified_o__Eurotiales,0.004175,0.01358,0.0009076,0.003396,0.5782,0.6165,-0.001816,0.01089,0.003267
g__unclassified_o__Conioscyphales,0.004901,0.005936,0.0001815,0.0006792,0.003562,0.01852,0.001997,0.008168,0.00472
g__Pseudotomentella,0.004901,0.01627,0,0,0.1649,0.2522,0,0.01416,0.004901
g__Leucosporidium,0.004538,0.006474,0.000363,0.001358,0.006523,0.02919,0.001089,0.008168,0.004175
g__unclassified_f__Phaeosphaeriaceae,0.00472,0.006823,0,0,0.007885,0.02972,0.001452,0.008351,0.00472
g__Gamsia,0.00472,0.01694,0,0,0.1649,0.2522,0,0.01398,0.004719
g__unclassified_f__Magnaporthaceae,0.004538,0.009826,0.0001815,0.0006792,0.06315,0.1407,0.0005445,0.01035,0.004357
g__Biscogniauxia,0.004357,0.005315,0.0001815,0.0006792,0.0006034,0.005314,0.001815,0.007261,0.004175
g__unclassified_f__Sympoventuriaceae,0.004357,0.005588,0.0001815,0.0006792,0.004636,0.02217,0.001453,0.007443,0.004176
g__Comoclathris,0.004538,0.01277,0,0,0.1649,0.2522,0,0.01234,0.004538
g__Coprinellus,0.004538,0.0087,0,0,0.007835,0.02972,0.0009075,0.009256,0.004537
g__Abundisporus,0.004538,0.009518,0,0,0.007885,0.02972,0.0007265,0.009803,0.004539
g__Pseudocoleophoma,0.004538,0.00699,0,0,0.007901,0.02972,0.001453,0.008532,0.004538
g__Agaricus,0.004538,0.01482,0,0,0.03764,0.08963,0.0001815,0.01252,0.004538
